#lambdax1, lambdax2, lambday, mu, gamma, alpha, bx1, bx2, by, hx1, hx2, hy, Dx1, Dx2, Dy, pn, po, n, m, Nmin, M
0.5, 0.5, 0.5, 1, 0.5, 0.05, 80, 100, 50, 2, 2, 1, 3, 3, 3, 0.3, 0.3, -50, 50, 1, 51
0.6, 0.6, 0.6, 1, 0.5, 0.05, 80, 100, 50, 2, 2, 2, 3, 3, 3, 0.3, 0.3, -50, 50, 1, 51
