#lambdax, lambday, mu, delta, cx, cy, hx, hy, alpha, m
0.85, 0.85, 1, 0.8, 11.4, 5.7, 2, 1, 0.05, 100
0.85, 0.85, 1, 0.8, 12, 6, 2, 1, 0.05, 100
